candidate_label,mean_knn_distance
ALB_Plate006_015016,0.005162495
ALB_Plate001_1_014010,0.0051489174
AEB_Plate048_003003,0.005085057
AHA_Plate007_1_008020,0.005072385
AEB_Plate030_2_010011,0.005045873
AEC_Plate007_005022,0.0049872696
ALB_Plate022_2_005023,0.0049237073
AEB_Plate015_003003,0.004877138
ALB_Plate008_004013,0.004847509
ALB_Plate022_2_005001,0.0047745467
AHA_Plate008_003019,0.004756677
ALB_Plate023_1_010019,0.004727447
ALB_Plate011_2_013003,0.0047214567
AEB_Plate037_016022,0.004676348
AHA_Plate001_2_016001,0.0045874775
ALB_Plate023_1_016017,0.0045723794
ALB_Plate023_2_008019,0.0045572342
ALB_Plate022_1_014023,0.0045186044
AHA_Plate006_016005,0.004516393
ALB_Plate001_1_012004,0.0044724224
AHA_Plate006_015004,0.0044528367
AEB_Plate017_010017,0.004440361
ALB_Plate021_014015,0.004408491
ALB_Plate017_001006,0.004400027
AHA_Plate001_2_003007,0.0043133376
AEB_Plate057_005022,0.0043036817
ALB_Plate010_1_002009,0.0042719482
ALB_Plate022_1_016005,0.004271942
ALB_Plate022_1_006007,0.004203403
AHA_Plate001_2_007003,0.004198098
ALB_Plate001_2_009008,0.0041857124
AEB_Plate012_014023,0.0041449247
AEC_Plate010_014009,0.0041327896
AEC_Plate029_005001,0.0041095256
AEC_Plate030_2_016024,0.004099411
AHA_Plate001_1_006015,0.0040626107
ALB_Plate017_015004,0.0040322244
AHA_Plate009_2_005002,0.004028356
ALB_Plate003_006003,0.0040133954
ALB_Plate010_1_011017,0.004003388
AEB_Plate030_1_011015,0.0039464235
ALB_Plate022_1_008009,0.003941649
AHA_Plate001_1_009003,0.003913385
ALB_Plate012_016007,0.0038826466
AHA_Plate005_005017,0.0038348972
ALB_Plate010_1_010008,0.0038099228
AEB_Plate024_014024,0.003746301
AEC_Plate030_1_016023,0.003696227
ALB_Plate010_2_012008,0.003682953
AHA_Plate008_002021,0.0036805451
AHA_Plate010_007003,0.0036741258
AHA_Plate001_2_016024,0.0036711157
AHA_Plate001_2_003009,0.003632903
ALB_Plate023_1_016013,0.0035860718
AEC_Plate030_2_011005,0.0035411299
ALB_Plate025_006017,0.0035410286
ALB_Plate013_009016,0.0035283447
AHA_Plate006_014005,0.0035252334
AHA_Plate009_1_006001,0.0034814836
ALB_Plate011_1_014012,0.0034710646
AHA_Plate009_1_009006,0.0034708858
AEC_Plate011_014003,0.0034638464
ALB_Plate013_014018,0.0034313202
ALB_Plate018_001015,0.0034273923
AEB_Plate043_006018,0.0034258603
ALB_Plate008_008013,0.0034247816
AEB_Plate062_005023,0.003423369
AHA_Plate001_1_015003,0.0034224987
AHA_Plate001_2_007005,0.0034209013
AEB_Plate021_005001,0.0034011423
ALB_Plate011_1_004005,0.0033976436
ALB_Plate001_2_012004,0.003396821
AHA_Plate005_014019,0.0033819973
AHA_Plate011_1_013001,0.0033813952
AHA_Plate004_007021,0.0033715903
AEC_Plate015_014013,0.0033639788
AHA_Plate006_001017,0.0033464134
ALB_Plate022_1_014007,0.003296864
AEB_Plate030_2_011015,0.0032726347
AEB_Plate018_015023,0.0032648384
AEC_Plate032_016024,0.003262025
AHA_Plate009_1_010001,0.0032549084
AHA_Plate001_1_007016,0.0032509149
AEC_Plate030_2_016023,0.0032260597
ALB_Plate025_006018,0.0032188178
AEB_Plate006_011008,0.0032141148
ALB_Plate017_007003,0.0032064915
AHA_Plate009_2_005023,0.003183943
ALB_Plate025_012014,0.0031795502
ALB_Plate010_2_011017,0.0031732202
ALB_Plate018_005013,0.003158182
ALB_Plate010_2_016007,0.0031551241
ALB_Plate013_003015,0.0031332313
ALB_Plate010_2_002009,0.0031258701
AEB_Plate031_014024,0.0030826032
ALB_Plate022_2_005016,0.0030810237
AHA_Plate001_1_003019,0.0030676662
AEB_Plate018_014016,0.0030042827
ALB_Plate023_2_005001,0.002982968
AEB_Plate019_006023,0.0029827356
AHA_Plate008_014010,0.0029821456
AHA_Plate006_005006,0.0029407442
AHA_Plate008_007005,0.0028596104
ALB_Plate013_014017,0.002839303
ALB_Plate022_1_016024,0.0028369664
ALB_Plate006_003022,0.0028103353
ALB_Plate011_2_004005,0.0027670502
AHA_Plate002_004014,0.002746618
AEC_Plate007_003016,0.0027350546
ALB_Plate022_2_010009,0.0027267516
ALB_Plate006_001022,0.002720785
AEC_Plate021_013008,0.002714026
AHA_Plate001_1_004024,0.0027133524
AEC_Plate002_005023,0.0027132512
ALB_Plate010_1_016007,0.0026823103
AHA_Plate001_1_003002,0.0026308596
ALB_Plate023_2_005023,0.0026179552
AHA_Plate006_010016,0.0025671541
ALB_Plate014_008022,0.0025399327
ALB_Plate024_001021,0.0025360167
AHA_Plate001_1_015011,0.0025282502
ALB_Plate017_014024,0.0025236546
ALB_Plate012_016010,0.0025097192
AEB_Plate038_002010,0.0024796724
ALB_Plate024_013020,0.0024698258
AHA_Plate009_1_006002,0.0024502636
ALB_Plate017_010011,0.0024316728
ALB_Plate001_1_003015,0.0024180352
AEC_Plate030_2_016001,0.0024038434
AHA_Plate002_004020,0.0023992658
ALB_Plate022_2_001020,0.002395165
AHA_Plate009_1_013005,0.0023920238
AHA_Plate003_009008,0.002388078
ALB_Plate023_2_005024,0.0023822426
ALB_Plate011_1_013003,0.0023810924
AHA_Plate001_1_002017,0.0023724914
AEC_Plate006_008004,0.0023633658
AHA_Plate011_1_014002,0.0023513199
AEB_Plate057_016002,0.0023326874
AEC_Plate009_010001,0.0023167015
AEB_Plate008_005022,0.002315867
AEB_Plate026_005002,0.002310759
AEB_Plate035_2_010003,0.0023101508
AHA_Plate008_009010,0.002301848
ALB_Plate006_010003,0.0022946536
AHA_Plate001_2_002017,0.0022870898
AEB_Plate009_006001,0.0022718727
AHA_Plate007_1_011006,0.0022368133
AHA_Plate009_1_014002,0.0022143007
AEC_Plate015_003016,0.002187109
ALB_Plate010_2_006020,0.00218032
ALB_Plate008_010012,0.002179575
ALB_Plate013_002014,0.0021716356
AEC_Plate030_2_016002,0.0021574616
AEC_Plate002_016015,0.0021499873
AHA_Plate007_1_016018,0.0021443008
AHA_Plate001_2_011007,0.0021425248
AEB_Plate033_015022,0.0021416605
ALB_Plate024_009008,0.0021373213
ALB_Plate024_005001,0.0021350682
AHA_Plate011_2_005024,0.0021180094
AEB_Plate003_013010,0.0021130145
AEB_Plate035_2_005008,0.0021117628
ALB_Plate017_009005,0.0021113337
AHA_Plate009_1_004001,0.0021105886
ALB_Plate015_008003,0.0020886778
AEC_Plate026_2_004002,0.0020796836
ALB_Plate022_2_006007,0.0020777106
AHA_Plate001_2_009003,0.0020741224
AHA_Plate009_1_009007,0.0020720481
