"well_index","Plate001","Plate002","Plate003","Plate004","Plate005","Plate006","Plate007","Plate008","Plate010","Plate009","Plate011"
"001001","DMSO","DMSO","DMSO","DMSO","DMSO","DMSO","DMSO","DMSO","DMSO","?","?"
"001002","DMSO","DMSO","DMSO","DMSO","DMSO","DMSO","DMSO","DMSO","DMSO","?","?"
"001003","Axitinib","Oxybutynin","Tetrandrine","Chlorobutanol","Luliconazole","Eperisone hydrochloride","Lanatoside C","Niraparib (MK-4827) tosylate","Erlotinib HCl (OSI-744)","Perifosine (KRX-0401)","Oxaliplatin"
"001004","Clopidogrel","Terazosin HCl Dihydrate","Icotinib","Methazolamide","Clioquinol","Solifenacin","Cyclopentolate Hydrochloride","Morin","?","Citicholine","?"
"001005","Ridaforolimus (Deforolimus, MK-8669)","Cefditoren Pivoxil","Inosine","Flibanserin","Flufenamic acid","Perospirone hydrochloride","Thioridazine hydrochloride","Monomethyl auristatin E (MMAE)","Marbofloxacin","Galanthamine HBr","Calcium gluconate"
"001006","Tizanidine HCl","Argatroban","Amoxicillin","Bisacodyl","Fenoldopam mesylate","Darunavir","Benazepril","Homoorientin","?","DL-Serine","?"
"001007","Rapamycin (Sirolimus)","Trifluridine","Bethanechol chloride","Vilanterol Trifenate","Tasimelteon","cis-Aconitic acid","Olmesartan","Afatinib (BIBW2992) Dimaleate","Paliperidone","Perindopril Erbumine","Sodium Hyaluronate"
"001008","Tipifarnib","Adiphenine HCl","Fenoprofen calcium hydrate","Methyclothiazide","(+/-)-Sulfinpyrazone","Stiripentol","Baloxavir marboxil","Temocapril","?","L-aspartic Acid","?"
"001009","Masitinib (AB1010)","Simvastatin","Famciclovir","Travoprost","Labetalol HCl","Glycocholic acid","Sodium cholate","Y-39983 HCl","Lornoxicam","Nedaplatin","?"
"001010","Daclatasvir (BMS-790052)","Detomidine HCl","Rofecoxib","Guanabenz Acetate","Prasugrel Hydrochloride","Tiletamine Hydrochloride","Dibutyl sebacate","Ebselen","?","pentetate calcium trisodium hydrate","?"
"001011","Ivacaftor (VX-770)","Nifedipine","Manidipine","Quinidine sulfate","(R)-(+)-Atenolol HCl","Azathramycin","Benzalkonium chloride","Vonoprazan Fumarate (TAK-438)","Hypoxanthine","D-Cycloserine","?"
"001012","Betamethasone","Levosulpiride","Azilsartan Medoxomil","Mequinol","Atipamezole hydrochloride","Amoxicillin trihydrate","2,4-dichlorobenzyl alcohol","Relebactam","?","(R)-Serine","?"
"001013","Danoprevir (ITMN-191)","Proparacaine HCl","Novobiocin Sodium","Palmatine","Clopamide","Tofacitinib (CP-690550) Citrate","Dexrazoxane","CB-5083","Enrofloxacin","Chondroitin sulfate","?"
"001014","Natamycin","Ibutilide Fumarate","Vanillin","Levobetaxolol HCl","Glycopyrrolate","Sodium gualenate","(±)-α-Bisabolol","Trigonelline","?","Rilmenidine Phosphate","?"
"001015","Exemestane","Chloroxine","Quinine HCl Dihydrate","Echinacoside","Metaproterenol Sulfate","Indometacin Sodium","Emedastine","Pimavanserin","Sennoside A","Amiloride HCl dihydrate","?"
"001016","ABT-492(Delafloxacin, RX-3341, WQ-3034)","Bazedoxifene HCl","Indacaterol Maleate","Droperidol","Procaine","4-Allylanisole","Levulinic acid","Pibrentasvir (ABT-530)","?","Leuprorelin Acetate","?"
"001017","Doxorubicin (Adriamycin) HCl","Pefloxacin Mesylate","Sulfadoxine","Stevioside","Procyclidine HCl","Tilorone dihydrochloride","Isoxsuprine hydrochloride","TAS-102","Netupitant","Geneticin (G418 Sulfate)","?"
"001018","Apixaban","Telotristat Etiprate (LX 1606 Hippurate)","Oxybutynin chloride","Closantel","Protirelin","Ceftiofur","Methylamine hydrochloride","Adenine","?","Somatostatin Acetate","?"
"001019","Dexrazoxane HCl (ICRF-187, ADR-529)","Ganciclovir","Phenytoin","Isoquercitrin","Phthalylsulfacetamide","Melitracen hydrochloride","Tropic acid","Anlotinib (AL3818) dihydrochloride","Zofenopril calcium","Creatinine","?"
"001020","Methimazole","Idelalisib (CAL-101, GS-1101)","Sodium salicylate","Pefloxacin Mesylate Dihydrate","Oxybenzone","Fipronil","Ammonium formate","Pyridoxal hydrochloride","?","Foscarnet Sodium","?"
"001021","Temozolomide","Carbidopa","Clomipramine HCl","Allantoin","Proadifen HCl","Clonixin","Carvedilol Phosphate","(R)-(-)-Mandelic acid","Cephalexin","Cesium chloride","?"
"001022","Prednisone","Amygdalin","levalbuterol tartrate","Clorprenaline HCl","2-Deoxy-D-glucose","Imidafenacin","N-Acetyl-L-tyrosine","Palmitoleic acid","?","Lithium carbonate","?"
"001023","DMSO","DMSO","DMSO","DMSO","DMSO","DMSO","DMSO","DMSO","DMSO","?","?"
"001024","DMSO","DMSO","DMSO","DMSO","DMSO","DMSO","DMSO","DMSO","DMSO","?","?"
"002001","DMSO","DMSO","DMSO","DMSO","DMSO","DMSO","DMSO","DMSO","DMSO","?","?"
"002002","DMSO","DMSO","DMSO","DMSO","DMSO","DMSO","DMSO","DMSO","DMSO","?","?"
"002003","Entecavir Hydrate","Diclofenac Sodium","5-Aminolevulinic acid HCl","Protopine","Clofoctol","Pixantrone Maleate","Acetohexamide","Sparteine","?","L-Leucine","?"
"002004","Allopurinol Sodium","Baicalin","Ampicillin sodium","Amfenac Sodium Monohydrate","Acetylcholine iodide","Chlorprothixene hydrochloride","2-Aminoethanethiol","3-Hydroxybenzoic acid","?","?","?"
"002005","Vemurafenib (PLX4032, RG7204)","Pregnenolone","Amoxicillin Sodium","Hederagenin","Mefloquine HCl","Mupirocin calcium","Delapril Hydrochloride","Securinine","?","Sodium Monofluorophosphate","?"
"002006","Ursodiol","Cyclosporin A","Flumequine","Doxycycline Hyclate","Retigabine","Chloramphenicol sodium succinate","Nimorazole","Pentostatin","?","?","?"
"002007","Benazepril HCl","Nystatin (Fungicidin)","Phenacetin","Ginsenoside Rb1","4-Aminobenzoic acid","Sitagliptin","Diclofenac Epolamine","Octyl gallate","?","Clodronate Disodium","?"
"002008","Tretinoin","Ferulic Acid","Reboxetine mesylate","Cetylpyridinium Chloride","Sulfacetamide sodium salt hydrate","Carbaryl","Chlorphenesin","3-Phenoxybenzoic acid","?","?","?"
"002009","Tegafur (FT-207, NSC 148958)","Sulfamethizole","Pioglitazone","Mesterolone","DEET","Geranyl acetate","DL-Norepinephrine hydrochloride","Thymine","?","Chloroquine Phosphate","?"
"002010","Trichlormethiazide","Kaempferol","Triptolide (PG490)","Nifuroxazide","L-5-Hydroxytryptophan","Hyperoside","Docosahexaenoic Acid","Trametinib DMSO solvate","?","?","?"
"002011","Edaravone","Nicorandil","Dehydroepiandrosterone (DHEA)","Flavone","Iopamidol","Lanolin","Methyl Oleate","Phensuximide","?","Sodium ascorbate","?"
"002012","Disulfiram","Nalidixic acid","Pazufloxacin mesylate","Betamipron","Methandrostenolone","Rolapitant","Fosfluconazole","Trometamol hydrochloride","?","?","?"
"002013","Fluvoxamine maleate","Mometasone furoate","Clorsulon","(-)-Borneol","Trimetazidine dihydrochloride","Phytol","Esmolol","Thiothixene","?","Tolmetin Sodium","?"
"002014","Busulfan","Paeonol","Tacrine hydrochloride hydrate","Furaltadone HCl","Atenolol","Rimantadine Hydrochloride","Fipexide hydrochloride","Sodium tauroglycocholate","?","?","?"
"002015","Loratadine","Pyrimethamine","Trametinib (GSK1120212)","L-Tryptophan","Carzenide","Protoporphyrin IX","Rasagiline","Brimonidine","?","Captisol (SBE-β-CD)","?"
"002016","Lamivudine","Salicin","Tauroursodeoxycholic Acid (TUDCA)","Sucralose","Aceclofenac","Atropine sulfate","Hydrocortisone butyrate","Hexaminolevulinate hydrochloride","?","?","?"
"002017","Ruxolitinib (INCB018424)","Ketotifen Fumarate","MK-2048","Sitagliptin phosphate monohydrate","DL-Panthenol","Fructose","Citronellyl acetate","Josamycin","?","L-Glutamic acid monosodium salt","?"
"002018","Adefovir Dipivoxil","Taxifolin (Dihydroquercetin)","Thymopentin","Mexiletine HCl","Rabeprazole","2’-deoxyuridine","Cilengitide?trifluoroacetate","?","?","?","?"
"002019","Omeprazole","Candesartan Cilexetil","MPEP","Hyoscyamine","Triacetin","Enoxacin Sesquihydrate","Vilazodone","Methylprednisolone sodium succinate","?","Sodium carbonate","?"
"002020","Mitotane","Dioscin","Carbendazim","Cepharanthine","Ecabet sodium","Doripenem","Edoxaban tosylate Monohydrate","?","?","?","?"
"002021","Tenofovir Disoproxil Fumarate","Pioglitazone HCl","Camostat Mesilate","Homatropine Methylbromide","Nitroxoline","Coluracetam","17-Beta-Estradiol-3,17-Dipropionate","Homoharringtonine","?","DL-Citrulline","?"
"002022","Guaifenesin","L-carnitine","N-Ethylmaleimide (NEM)","Bromfenac Sodium","Propacetamol hydrochloride","Dimetridazole","Triapine","?","?","?","?"
"002023","DMSO","DMSO","DMSO","DMSO","DMSO","DMSO","DMSO","DMSO","DMSO","?","?"
"002024","DMSO","DMSO","DMSO","DMSO","DMSO","DMSO","DMSO","DMSO","DMSO","?","?"
"003001","ActD_0.3","ActD_0.3","ActD_0.3","ActD_0.3","ActD_0.3","ActD_0.3","ActD_0.3","ActD_0.3","ActD_0.3","?","?"
"003002","ActD_0.3","ActD_0.3","ActD_0.3","ActD_0.3","ActD_0.3","ActD_0.3","ActD_0.3","ActD_0.3","ActD_0.3","?","?"
"003003","Roxadustat (FG-4592)","Enoxacin","Paeoniflorin","Sarpogrelate hydrochloride","Vilazodone HCl","Neticonazole Hydrochloride","Pamabrom","Lomitapide Mesylate","Vandetanib (ZD6474)","Palbociclib (PD-0332991) HCl","Heparin sodium"
"003004","Ranolazine 2HCl","Bromhexine HCl","Carbazochrome sodium sulfonate (AC-17)","Norethindrone","Acetohydroxamic acid","Paroxetine mesylate","Celiprolol hydrochloride","Isorhamnetin","?","UTP, Trisodium Salt","?"
"003005","Gefitinib (ZD1839)","Sulfadiazine","Tolbutamide","Testosterone Enanthate","Vinorelbine Tartrate","Bifendate","Xylazine","Gilteritinib (ASP2215)","Irbesartan","Granisetron HCl","Deferiprone"
"003006","Topiramate","Prulifloxacin (NM441, AF 3013)","Aspirin","Carbimazole","Itopride hydrochloride","Cisapride","Bendamustine","Dracohodin perochlorate","?","DL-Arginine","?"
"003007","Sorafenib Tosylate","Azacitidine","Chlorpromazine HCl","Grazoprevir","Nelfinavir Mesylate","Maltol","Cytarabine hydrochloride","Pexidartinib (PLX3397)","Beta Carotene","Cidofovir","Nisin"
"003008","Atazanavir Sulfate","Procaterol HCl","Niclosamide","Ropivacaine HCl","Chlorotrianisene","Canrenone","Ataluren (PTC124)","Roquinimex","?","L-methionine","?"
"003009","Crizotinib (PF-02341066)","Ramipril","Fenbendazole","Calcipotriene","Diphenidol HCl","Lactobionic acid","Diphenylamine Hydrochloride","Ozanimod (RPC1063)","Vinpocetine","Penicillamine","?"
"003010","Iloperidone","Almotriptan Malate","Cinepazide maleate","Tinidazole","Desogestrel","Estropipate","Lactose","Myristic Acid","?","Ala-Gln","?"
"003011","Docetaxel","Amiloride HCl","Manidipine 2HCl","4-Hydroxybenzoic acid","9-Aminoacridine","Anamorelin","Amsacrine hydrochloride","Vortioxetine (Lu AA21004) HBr","Itraconazole","Sodium butyrate","?"
"003012","Mycophenolate Mofetil","Pantoprazole","Medetomidine HCl","Mefenamic Acid","Atipamezole","Tosufloxacin p-Toluenesulfonate Hydrate","Doxycycline monohydrate","Pemigatinib (INCB054828)","?","(S)-Glutamic acid","?"
"003013","Ritonavir","Pranlukast","Olanzapine","5-Hydroxymethylfurfural","Clorgyline HCl","Fingolimod (FTY720) HCl","Elbasvir","Sotagliflozin (LX4211)","Ambroxol HCl","Donepezil HCl","?"
"003014","Quizartinib (AC220)","Probucol","Chlorthalidone","Loxapine Succinate","Tiagabine hydrochloride","Oxidopamine (hydrobromide)","Acid Red 27","Hypericin","?","Pemetrexed Disodium Hydrate","?"
"003015","Finasteride","Lomustine","Racecadotril","Notoginsenoside R1","Metaraminol Bitartrate","Octenidine Dihydrochloride","Tiaprofenic acid","Oclacitinib?maleate","Retinyl (Vitamin A) Palmitate","Oxacillin sodium monohydrate","?"
"003016","VX-809 (Lumacaftor)","Atropine sulfate monohydrate","2-Thiouracil","Halcinonide","Benzocaine hydrochloride","Metroprolol succinate","Ethanolamine hydrochloride","Ampalex (CX-516)","?","Lypressin Acetate","?"
"003017","Fluorouracil (5-Fluoracil, 5-FU)","Metoprolol Tartrate","Tenoxicam","Dehydroandrographolide","Ractopamine HCl","Nadolol","Chloropyramine hydrochloride","Voxelotor(GBT440, GTx011)","Cetilistat","Solifenacin succinate","?"
"003018","Reserpine","Dichlorphenamide (Diclofenamide)","Doxepin HCl","Clofazimine","Loxoprofen","Safinamide","Tartaric acid","DL-Tartaric acid","?","GHRP-2","?"
"003019","Epirubicin HCl","Roxatidine Acetate HCl","Ciclopirox","Madecassoside","Pinacidil","Phenazine methosulfate","Mexenone","Ripretinib (DCC-2618)","Garenoxacin","Amikacin hydrate","?"
"003020","Metolazone","Eltrombopag Olamine","Methylthiouracil","Sulconazole Nitrate","Succimer","Ethyl Oleate","Rutin hydrate","Maleimide","?","Citric acid trilithium salt tetrahydrate","?"
"003021","Tamoxifen","Valsartan","Phenformin HCl","Lawsone","Pyrilamine Maleate","Thiocolchicoside","Raceanisodamine","2'-Deoxyguanosine monohydrate","?","Ceftazidime","?"
"003022","Acetylcysteine","Andrographolide","Butenafine HCl","Carprofen","Eugenol","Betrixaban","5-Methoxytryptamine","Bis(2-ethylhexyl) phthalate","?","D-Alanine","?"
"003023","ActD_0.3","ActD_0.3","ActD_0.3","ActD_0.3","ActD_0.3","ActD_0.3","ActD_0.3","ActD_0.3","ActD_0.3","?","?"
"003024","ActD_0.3","ActD_0.3","ActD_0.3","ActD_0.3","ActD_0.3","ActD_0.3","ActD_0.3","ActD_0.3","ActD_0.3","?","?"
"004001","BMH-21_2","BMH-21_2","BMH-21_2","BMH-21_2","BMH-21_2","BMH-21_2","BMH-21_2","BMH-21_2","BMH-21_2","?","?"
"004002","BMH-21_2","BMH-21_2","BMH-21_2","BMH-21_2","BMH-21_2","BMH-21_2","BMH-21_2","BMH-21_2","BMH-21_2","?","?"
"004003","Nepafenac","Avobenzone","Daphnetin","Pyrogallol","Digoxigenin","Metadoxine","Acrivastine","Ammonium Glycyrrhizate","?","L-Citrulline","?"
"004004","Zafirlukast","Bergenin","Anagrelide HCl","Penfluridol","Cefotaxime","Tegaserod Maleate","Chloramine-T","Trypan Blue","?","?","?"
"004005","Acarbose","Sulfamethoxazole","Isoprenaline HCl","Astragaloside IV","Eltrombopag","Duloxetine","Fosfosal","Corydaline","?","Flavoxate HCl","?"
"004006","Nitrofural","Cytisine","Amitriptyline HCl","Doxofylline","Retigabine 2HCl","Sultamicillin","Diroximel Fumarete","Enarodustat (JTZ-951)","?","?","?"
"004007","Budesonide","Isoniazid","Zidovudine","(-)-Epicatechin gallate","Aceglutamide","Ceforanide","Nebivolol","1-Indanone","?","Histamine Phosphate","?"
"004008","Phenylbutazone","Glycyrrhizin (Glycyrrhizic Acid)","Triflusal","1-Hexadecanol","Cisapride hydrate","Promazine hydrochloride","Chromium picolinate","Pimethixene maleate","?","?","?"
"004009","Ifosfamide","Sulbactam","Tolvaptan","Maltitol","Dehydroacetic acid","Febantel","Dihydroergotamine Mesylate","Methyl palmitate","?","Ceftriaxone Sodium Trihydrate","?"
"004010","Loteprednol etabonate","Kinetin","Fangchinoline","Penciclovir","alpha-Asarone","Saikosaponin D","Clebopride (malate)","Tetraethylammonium chloride","?","?","?"
"004011","Etodolac","Tamoxifen Citrate","Idebenone","Histamine","6-Acetamidohexanoic acid","Tylosin","D-Mannose","Ergoloid Mesylates","?","Apramycin Sulfate","?"
"004012","Mesalamine","Naringin","Diammonium Glycyrrhizinate","Chlorquinaldol","Nicergoline","Gefarnate","Trandolapril","Propafenone","?","?","?"
"004013","Gatifloxacin","Propylthiouracil","Arecoline HBr","Zinc Undecylenate","Urethane","Aleuritic Acid","Trimetazidine","Haloperidol Decanoate","?","Potassium Canrenoate","?"
"004014","Carbamazepine","(-)-Parthenolide","Methoxyphenamine Hydrochloride","Isosorbide","Saccharin","Desipramine Hydrochloride","Fosphenytoin (disodium)","Remdesivir (GS-5734)","?","?","?"
"004015","Losartan Potassium (DuP 753)","Sulindac","Ibrutinib (PCI-32765)","D-(+)-Trehalose dihydrate","Citiolone","Raffinose","Alprenolol hydrochloride","Tiapride Hydrochloride","?","Glutathione","?"
"004016","Estradiol","Sclareol","Cefepime Dihydrochloride Monohydrate","Valnemulin HCl","Nilutamide","Salbutamol","(±)-Equol","Imidacloprid","?","?","?"
"004017","Isotretinoin","Urapidil HCl","Laquinimod","Lithocholic acid","Ethylvanillin","Naproxen","Cabergoline","Trifluoperazine","?","Sodium ferulate","?"
"004018","Zalcitabine","Troxerutin","Carmustine","Fidaxomicin","Meropenem Trihydrate","Vortioxetine","Ceritinib (LDK378)","?","?","?","?"
"004019","Ondansetron HCl","Phentolamine Mesylate","Alpelisib (BYL719)","Allylthiourea","Butamben","Sulfamethazine Sodium Salt","Sancycline","Avatrombopag","?","L(+)-Asparagine monohydrate","?"
"004020","Methylprednisolone","Diosmetin","Cinnamic acid","Bergapten","Bedaquiline fumarate","Erythromycin estolate","Osimertinib (AZD9291)","?","?","?","?"
"004021","Tenofovir","Captopril","Prucalopride","Homatropine Bromide","Chlormadinone acetate","Adrafinil","Scopolamine HBr trihydrate","Quillaic acid","?","Homotaurine","?"
"004022","Rifabutin","Naringin Dihydrochalcone","2,6-Dihydroxypurine","Flopropione","Xanthinol Nicotinate","1, 10-Phenanthroline monohydrate","(S)-crizotinib","?","?","?","?"
"004023","BMH-21_2","BMH-21_2","BMH-21_2","BMH-21_2","BMH-21_2","BMH-21_2","BMH-21_2","BMH-21_2","BMH-21_2","?","?"
"004024","BMH-21_2","BMH-21_2","BMH-21_2","BMH-21_2","BMH-21_2","BMH-21_2","BMH-21_2","BMH-21_2","BMH-21_2","?","?"
"005001","CAM_25","CAM_25","CAM_25","CAM_25","CAM_25","CAM_25","CAM_25","CAM_25","CAM_25","?","?"
"005002","CAM_25","CAM_25","CAM_25","CAM_25","CAM_25","CAM_25","CAM_25","CAM_25","CAM_25","?","?"
"005003","Selumetinib (AZD6244)","Pitavastatin Calcium","Geniposide","Ethopabate","Tamibarotene","Cefathiamidine","(-)-Sparteine Sulfate","Lomitapide","Imiquimod","Pemetrexed (LY-231514) disodium","Risedronate Sodium"
"005004","Repaglinide","Lovastatin","Clevudine","Olsalazine Sodium","Gallic acid","lenvatinib Mesylate","Olanexidine Hydrochloride semihydrate","Eriodictyol","?","Loxoprofen Sodium","?"
"005005","Imatinib Mesylate (STI571)","Chlorprothixene","Levosimendan","Leuprolide Acetate","Oxiracetam","Cytosine","Triflupromazine hydrochloride","Sunitinib","Norfloxacin","Biapenem","D-Phenylalanine"
"005006","Tranilast","Seratrodast(AA-2414, ABT-001)","Niflumic acid","Valdecoxib","Cefuroxime sodium","Dasatinib hydrochloride","Bepotastine","Peimine","?","L-Asparagine","?"
"005007","Sunitinib Malate","Vidarabine","Clindamycin HCl","Iron sucrose","Cyclobenzaprine HCl","Farnesol","Cinnamyl acetate","Cyclo (-RGDfK)","Flubendazole","Ibuprofen Lysine","Fosinopril Sodium"
"005008","VX-745","Duloxetine HCl","Linagliptin","Sodium Nitroprusside Dihydrate","Diazoxide","Tedizolid","Imidazole","Tirapazamine","?","L-arginine","?"
"005009","Vismodegib (GDC-0449)","Fenofibrate","Fluocinolone Acetonide","Benznidazole","Promethazine HCl","Tropine","(+)-Longifolene","ETC-1002","Neratinib (HKI-272)","Etidronate","?"
"005010","HMN-214","Ambrisentan","Azilsartan","Guanidine HCl","Brexpiprazole","Ceftezole","(+)-(S)-Carvone","Pleconaril","?","L-Hydroxyproline","?"
"005011","Paclitaxel","Amlodipine Besylate","Milrinone","Betaine","Anisindione","Sorbic acid","Cefotiam Hexetil Hydrochloride","Empagliflozin (BI 10773)","7-Aminocephalosporanic acid","Taurine","?"
"005012","Dyphylline","Flunixin Meglumin","Epinephrine HCl","Ticagrelor","Etoricoxib","Carglumic Acid","Diclofenac acid","Treprostinil sodium","?","Sodium phytate hydrate","?"
"005013","Anastrozole","Oxfendazole","Olopatadine HCl","Tyrosol","Disopyramide Phosphate","Tacrolimus (FK506)","Indigo carmine","Acalabrutinib (ACP-196)","Cefadroxil hydrate","Neostigmine Bromide","?"
"005014","Telaprevir (VX-950)","Arbidol HCl","Dexmedetomidine","Flumethasone","Atazanavir","Nitisinone","Brucine sulfate heptahydrate","Cynarin","?","DL-Methionine","?"
"005015","Cladribine","Chenodeoxycholic Acid","Ribavirin","Carvacrol","Methoxamine HCl","Ioversol","Ranitidine","Enasidenib (AG-221)","Clopidol","Neomycin sulfate","?"
"005016","Pomalidomide","Roflumilast","Moguisteine","Dexlansoprazole","Dimenhydrinate","Vanillic acid","Phthalic acid","Antineoplaston A10","?","Octreotide Acetate","?"
"005017","Methotrexate","Dienestrol","Vardenafil HCl Trihydrate","Imperatorin","Terfenadine","Efinaconazole","Mivacurium chloride","Tofogliflozin(CSG 452)","Mebhydrolin napadisylate","Palonosetron HCl","?"
"005018","Furosemide","Ixazomib (MLN2238)","Ornidazole","Estradiol Benzoate","Sildenafil Mesylate","Regadenoson","Pentadecanoic acid","Menthone","?","Nafarelin Acetate","?"
"005019","Etoposide","Protionamide","Dopamine HCl","Eupatilin","Suxibuzone","Valethamate Bromide","Levomilnacipran Hydrochloride","Zanubrutinib (BGB-3111)","Mirogabalin (DS-5565)","Tripelennamine HCl","?"
"005020","Cefoperazone","Esomeprazole sodium","Milnacipran HCl","Tilmicosin","Guanfacine Hydrochloride","Lactitol","Glycolic acid","Pyruvic acid","?","Hyaluronic acid","?"
"005021","Vincristine sulfate","Dipyridamole","Ceftiofur HCl","Galanthamine","Fosfomycin Tromethamine","Granisetron","Norgestrel","Sanguinarine","?","Penicillin V potassium salt","?"
"005022","Ethinyl Estradiol","Apigenin","Mepivacaine HCl","Dropropizine","Oleic Acid","Betrixaban maleate","2-Ethyl-3-hydroxy-4H-pyran-4-one","N-Acetyl-D-mannosamine","?","Lanreotide acetate","?"
"005023","CAM_25","CAM_25","CAM_25","CAM_25","CAM_25","CAM_25","CAM_25","CAM_25","CAM_25","?","?"
"005024","CAM_25","CAM_25","CAM_25","CAM_25","CAM_25","CAM_25","CAM_25","CAM_25","CAM_25","?","?"
"006001","CX-5461_10","CX-5461_10","CX-5461_10","CX-5461_10","CX-5461_10","CX-5461_10","CX-5461_10","?","CX-5461_10","?","?"
"006002","CX-5461_10","CX-5461_10","CX-5461_10","CX-5461_10","CX-5461_10","CX-5461_10","CX-5461_10","CX-5461_10","CX-5461_10","?","?"
"006003","Rufinamide","Amlodipine","Clarithromycin","L-Rhamnose monohydrate","Diperodon HCl","Daclatasvir Digydrochloride","Ceftizoxime sodium","Catharanthine hemitartrate","?","L-Theanine","?"
"006004","Erythromycin","Berberine chloride","Antipyrine","Ethamsylate","(+)-Catechin","Dasabuvir(ABT-333)","Salicylamide","DOTAP chloride","?","?","?"
"006005","Adapalene","Sulfisoxazole","Medroxyprogesterone acetate","Bulleyaconi cine A","Calcium D-Panthotenate","Donepezil","Alimemazine Tartrate","3-n-Butylphathlide","?","Dexamethasone Sodium Phosphate","?"
"006006","Ketoprofen","Daidzin","Adrenalone HCl","Benzydamine HCl","Salvianolic acid B","Ertugliflozin","Cevimeline","Saroglitazar","?","?","?"
"006007","Bumetanide","Levofloxacin","Quinapril HCl","Forsythin","Acetylleucine","Vitamin K2","Palonosetron","D-(+)-Raffinose pentahydrate","?","Succinylcholine Chloride Dihydrate","?"
"006008","Ezetimibe","gossypol-Acetic acid","Trifluoperazine 2HCl","Sulfaguanidine","Corticosterone","Metoprolol","Triclocarban","Ensulizole","?","?","?"
"006009","Megestrol Acetate","Tolfenamic Acid","Pramiracetam","Tannic acid","2-Ethoxybenzamide","Rafoxanide","Abametapir","Ligustilide","?","Sodium Gluconate","?"
"006010","Aminoglutethimide","L-(+)-Rhamnose Monohydrate","Berbamine (dihydrochloride)","Tiratricol","Harmaline","Curculigoside","Glycyrrhetinic acid","Sodium nitroprusside","?","?","?"
"006011","Etomidate","Cyclocytidine HCl","Mifepristone","Veratric acid","Methylene Blue","Ademetionine","Sodium Dehydrocholate","Mecamylamine Hydrochloride","?","Isepamicin Sulphate","?"
"006012","Ipratropium Bromide","Neohesperidin Dihydrochalcone (Nhdc)","Ceftibuten dihydrate","Broxyquinoline","Daminozide","Dantrolene sodium","Thonzylamine","Beclamide","?","?","?"
"006013","Genistein","Capsaicin(Vanilloid)","Noradrenaline bitartrate monohydrate","Pyridoxine","Xylitol","Taurocholic acid sodium salt hydrate","Prazosin","Penbutolol Sulfate","?","Hydroxychloroquine Sulfate","?"
"006014","Hydrocortisone","Piperine","Osalmid","Cysteamine HCl","Diastase","Fluorometholone","uridine triacetate","Olodaterol (BI 1744)","?","?","?"
"006015","Amonafide","Pramipexole 2HCl Monohydrate","Nilvadipine","Guaiazulene","Cloxiquine","Thymol","Allopregnanolone","Protriptyline hydrochloride","?","L-Ornithine hydrochloride","?"
"006016","Deferasirox","Silibinin","Piribedil","Liothyronine Sodium","Ibudilast","Iopanoic acid","Cyclothiazide","Miglustat","?","?","?"
"006017","Lopinavir","Diclazuril","Tofacitinib (CP-690550,Tasocitinib)","Ethambutol 2HCl","Fluphenazine dihydrochloride","Ropivacaine Mesilate","Cinitapride Hydrogen Tartrate","(-)-Fenchone","?","Danshensu","?"
"006018","Azathioprine","Ursolic Acid","Cefsulodin sodium","Fluorometholone Acetate","Faropenem Sodium","Trimebutine maleate","Zotarolimus(ABT-578)","?","?","?","?"
"006019","Oxcarbazepine","Nimesulide","Clindamycin","Sennoside B","Butylparaben","4-Aminosalicylic acid","Lercanidipine","Brequinar","?","L-Threonine","?"
"006020","Meloxicam","D-Mannitol","Vitamin E Acetate","Doxylamine Succinate","Iproniazid","Cinchocaine","Rilpivirine","?","?","?","?"
"006021","Tigecycline","Oxytetracycline Dihydrate","4-Aminohippuric Acid","Hydroxyzine 2HCl","Cephalothin","Boldenone","D-Carnitine hydrochloride","AKBA","?","Calcium folinate","?"
"006022","Nevirapine","Polydatin","Glucosamine hydrochloride","Sulfamethoxypyridazine","Sulfamethoxazole sodium","D-Ribose","Trelagliptin","?","?","?","?"
"006023","CX-5461_10","CX-5461_10","CX-5461_10","CX-5461_10","CX-5461_10","CX-5461_10","CX-5461_10","CX-5461_10","CX-5461_10","?","?"
"006024","CX-5461_10","CX-5461_10","CX-5461_10","CX-5461_10","CX-5461_10","CX-5461_10","CX-5461_10","CX-5461_10","CX-5461_10","?","?"
"007001","DIN_5","DIN_5","DIN_5","DIN_5","DIN_5","DIN_5","DIN_5","DIN_5","DIN_5","?","?"
"007002","DIN_5","DIN_5","DIN_5","DIN_5","DIN_5","DIN_5","DIN_5","DIN_5","DIN_5","?","?"
"007003","Nintedanib (BIBF 1120)","Rifapentine","Ipriflavone (Osteofix)","Sulfachloropyridazine","Efaproxiral Sodium","Calcium Dobesilate","D-Pantothenate Sodium","Peficitinib (ASP015K, JNJ-54781532)","Camptothecin","Gemcitabine HCl","Disodium Cromoglycate"
"007004","Rolipram","Tiopronin","Rivaroxaban","Nafcillin Sodium","Levofloxacin hydrate","Lapatinib ditosylate monohydrate","Olodaterol hydrochloride","Harpagoside","?","Sodium succinate","?"
"007005","Lapatinib (GW-572016) Ditosylate","Oxytetracycline (Terramycin)","Equol","Topiroxostat","Rotigotine","Elagolix Sodium","Dapagliflozin propanediol monohydrate","Dasatinib Monohydrate","Risperidone","Dorzolamide HCl","Minocycline HCl"
