"well_index","Plate001","Plate002","Plate003","Plate004","Plate005","Plate006","Plate007","Plate008","Plate010","Plate009","Plate011"
"010004","Ibuprofen","Chlorogenic Acid","Betahistine 2HCl","Bezafibrate","Benzenesulfonamide","Paritaprevir (ABT-450)","Tulobuterol hydrochloride","Insulin (human)","?","?","?"
"010005","Amisulpride","Haloperidol","Prednisolone Acetate","α-Hederin","Vinblastine sulfate","Acotiamide","Stearic acid","Topotecan","?","Gentamicin Sulfate","?"
"010006","Adenosine","DL-Carnitine HCl","(+,-)-Octopamine HCl","Cyromazine","Psoralen","Metyrapone","Mequitazine","Indocyanine green","?","?","?"
"010007","Cetirizine DiHCl","Menadione","Clobetasol propionate","Liquiritin","(+)-Camphor","Carbazochrome","Deferoxamine mesylate","Oxalic acid","?","Mildronate","?"
"010008","Dofetilide","Hesperetin","Meptazinol HCl","Uracil","Betulin","Berberine Sulfate","Ibuprofen piconol","Ixazomib citrate","?","?","?"
"010009","Streptozotocin (STZ)","Sulphadimethoxine","L-Thyroxine","Gamma-Oryzanol","Fenbufen","Pralidoxime Iodide","Methyl Stearate","Yangonin","?","Paromomycin Sulfate","?"
"010010","Lubiprostone","Luteolin","Rosmarinic acid","Salicylanilide","Benzyl isothiocyanate","Aucubin","Nifurtimox","Etomidate hydrochloride","?","?","?"
"010011","Fluconazole","Aripiprazole","Fluocinonide","Fusidine","Pantoprazole sodium","Propyl gallate","Aliskiren","Benzonatate","?","Amifostine","?"
"010012","Betamethasone Dipropionate","Oleanolic Acid","Tryptamine","Bemegride","Ceftizoxime","Clidinium Bromide","Tinoridine hydrochloride","DL-Carnitine","?","?","?"
"010013","Ivermectin","Lacidipine","5-hydroxymethyl Tolterodine (PNU 200577, 5-HMT, 5-HM)","Caryophyllene oxide","Aminoguanidine hydrochloride","D(-)-Arabinose","Doxazosin","Valbenazine tosylate","?","Sisomicin sulfate","?"
"010014","Didanosine","Quercetin Dihydrate","Sulfamonomethoxine","Chromocarb","Piperonyl butoxide","Fluorescein","Doravirine (MK-1439)","Dipivefrin Hydrochloride","?","?","?"
"010015","Daptomycin","Mirtazapine","Fedratinib (SAR302503, TG101348)","Oxaceprol","Dehydrocholic acid","7-Methoxycoumarin","Choline Fenofibrate","Anisodamine Hydrobromide","?","Sildenafil","?"
"010016","Gemcitabine","Sinomenine","Fludrocortisone acetate","Benzbromarone","Mosapride","Amodiaquine hydrochloride","Binimetinib (MEK162, ARRY-162, ARRY-438162)","?","?","?","?"
